label,w1_hi,w1_lo,w1_mode,D_hat,theta_signed_deg,theta_axis_deg,D_parallel,D_perp,depth_mode,eclip_template
baseline,16.25,,cumulative,0.01691531361475625,25.061209920521627,25.061209920521627,0.015322834619607888,0.0071650941309730305,none,abs_elat
baseline,16.3,,cumulative,0.016782744782714888,25.262790736121314,25.262790736121314,0.015177641318175922,0.007162382736111137,none,abs_elat
baseline,16.35,,cumulative,0.016439471033559295,27.671085179495968,27.671085179495968,0.014559257490483373,0.0076344108606387516,none,abs_elat
baseline,16.4,,cumulative,0.016326581297788644,27.99845087582657,27.99845087582657,0.0144157228886337,0.00766447587715066,none,abs_elat
baseline,16.45,,cumulative,0.015980110201450428,27.982289919533898,27.982289919533898,0.014111918088311798,0.007497845685213741,none,abs_elat
baseline,16.5,,cumulative,0.015572083749266925,27.699003702949454,27.699003702949454,0.013787549558104344,0.007238319520233946,none,abs_elat
baseline,16.55,,cumulative,0.015973508811564587,30.76316832051832,30.76316832051832,0.013725858464947302,0.008170299453102438,none,abs_elat
baseline,16.6,,cumulative,0.016778520598772835,34.33289993703882,34.33289993703882,0.013855275712833683,0.009463090848385924,none,abs_elat
sdss_depthonly_cov,15.5,,cumulative,0.01645183223037053,9.869227387723525,9.869227387723525,0.016208370191466127,0.0028198438738077083,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.55,,cumulative,0.01691897549437708,11.255445978235258,11.255445978235258,0.016593568314367948,0.003302305615132597,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.6,,cumulative,0.016631655384132284,12.02736214115118,12.02736214115118,0.016266560594913885,0.0034656842367029425,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.65,,cumulative,0.01694020687256698,12.142672125138505,12.142672125138505,0.016561201052165256,0.0035633170775452947,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.7,,cumulative,0.015955657110777146,14.670582148716766,14.670582148716766,0.015435469410873346,0.004040950123756357,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.75,,cumulative,0.015783270235764195,12.968859811434788,12.968859811434788,0.015380673443282122,0.0035421044262240503,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.8,,cumulative,0.016065247840674937,14.51814369974378,14.51814369974378,0.015552257241350542,0.004027341912623057,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.85,,cumulative,0.01605225012272386,14.2668574448362,14.2668574448362,0.015557173768470267,0.003955891598629667,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.9,,cumulative,0.015026332082845123,13.684880126312441,13.684880126312441,0.014599758343174852,0.0035549560032209857,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,15.95,,cumulative,0.015632677212416693,13.899029588433608,13.899029588433608,0.015174961023981906,0.003755150429509074,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.0,,cumulative,0.015734711249784372,15.305516903271938,15.305516903271938,0.015176632607863564,0.004153427596578908,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.05,,cumulative,0.015877509883532398,18.199070366248527,18.199070366248527,0.015083271097428665,0.004958856027668287,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.1,,cumulative,0.016126943099686642,19.347967071968593,19.347967071968593,0.015216156566666144,0.005342927388542109,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.15,,cumulative,0.015972518231835098,22.356056183067995,22.356056183067995,0.014771992280176402,0.0060753257312438315,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.2,,cumulative,0.016164064338276645,24.158550786495912,24.158550786495912,0.014748357815467853,0.0066153546903302985,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.25,,cumulative,0.01588658126871822,25.42623690347033,25.42623690347033,0.014347787625919314,0.006820883714674023,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.3,,cumulative,0.015936373841883244,26.13294591044988,26.13294591044988,0.014307269354287656,0.007019263127431668,delta_m_map_covariate_alpha_edge,abs_elat
sdss_depthonly_cov,16.35,,cumulative,0.015528596030655612,28.374089172921646,28.374089172921646,0.013663046004085168,0.007379598130897479,delta_m_map_covariate_alpha_edge,abs_elat
